NationalTOMsRef;Question_Name;Units;Proxy_Value;Target_Number;Target_LEV;Actual_Number_Delivered;Delivered_LEV;Project_name;Industry;Postcode;Contract_Value
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,72;;;0;£0,00;Project127;Construction;CM1 ;£10.982.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,72;;;0;£0,00;Project127;Construction;CM1 ;£10.982.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,72;;;0;£0,00;Project129;Construction;N14 ;£9.333.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,72;;;0;£0,00;Project129;Construction;N14 ;£9.333.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,48;;;0;£0,00;Project153;Construction;IG7 ;£15.982.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,48;;;0;£0,00;Project153;Construction;IG7 ;£15.982.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,55;;;0;£0,00;Project204;Construction;CM7 ;£10.840.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,55;;;0;£0,00;Project204;Construction;CM7 ;£10.840.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,89;;;0;£0,00;Project205;Construction;WA3 ;£8.097.454,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,89;;;0;£0,00;Project205;Construction;WA3 ;£8.097.454,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,50;;;167264;£82.872,66;Project206;Construction;WN2 ;£14.363.353,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,50;;;0;£0,00;Project206;Construction;WN2 ;£14.363.353,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,55;;;0;£0,00;Project208;Construction;SS6 ;£1.976.394,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,55;;;0;£0,00;Project208;Construction;SS6 ;£1.976.394,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,48;;;0;£0,00;Project211;Construction;IG7 ;£298.093,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,48;;;0;£0,00;Project211;Construction;IG7 ;£298.093,00
NT1;Local people employed;no. people FTE;£30.219,00;24;£690.192,00;34;£1.027.446,00;Project212;Construction;DA11 ;£13.880.000,00
NT19;Local Supply Chain Spend (SMEs);£;£0,62;3431000;£2.135.291,85;3602708;£2.242.154,78;Project212;Construction;DA11 ;£13.880.000,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,62;;;4461407;£2.776.568,35;Project212;Construction;DA11 ;£13.880.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,70;;;0;£0,00;Project213;Construction;LS25 ;£11.893.233,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,70;;;0;£0,00;Project213;Construction;LS25 ;£11.893.233,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,89;;;0;£0,00;Project216;Construction;RH16 ;£18.199.824,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,89;;;0;£0,00;Project216;Construction;RH16 ;£18.199.824,00
NT1;Local people employed;no. people FTE;£30.219,00;2;£60.438,00;1,25;£37.773,75;Project223;Construction;RG45 ;£2.850.000,00
NT18;Local supply chain spend;£;£1,14;;;0;£0,00;Project223;Construction;RG45 ;£2.850.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,64;;;4734;£3.039,61;Project213;Construction;LS25 ;£11.893.233,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,64;;;0;£0,00;Project213;Construction;LS25 ;£11.893.233,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;0;£0,00;0;£0,00;Project228;Construction;BS13 ;£177.413,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;0;£0,00;0;£0,00;Project228;Construction;BS13 ;£177.413,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;;;0;£0,00;Project228;Construction;BS13 ;£177.413,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;5;£141.110,00;0;£0,00;Project228;Construction;BS13 ;£177.413,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,64;;;306714,69;£196.935,39;Project213;Construction;LS25 ;£11.893.233,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,64;;;890078,46;£571.501,64;Project213;Construction;LS25 ;£11.893.233,00
NT1;Local people employed;no. people FTE;£20.834,00;13;£270.842,00;13;£270.842,00;Project254;Construction;SG12 ;£6.701.136,00
NT19;Local Supply Chain Spend (SMEs);£;£0,59;420438;£248.899,30;434926;£257.476,19;Project254;Construction;SG12 ;£6.701.136,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,59;2332034;£1.380.564,13;2555162;£1.512.655,90;Project254;Construction;SG12 ;£6.701.136,00
NT1;Local People Employed;no. people FTE;£26.819,00;4;£105.032,00;5;£134.095,00;Project255;Construction;b90 ;£575.000,00
NT18;Local Supply Chain Spend;£;£0,96;25000;£13.326,00;10000;£9.601,35;Project255;Construction;b90 ;£575.000,00
NT19;Local SME Spend;£;£0,96;5000;£2.665,00;0;£0,00;Project255;Construction;b90 ;£575.000,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;34303;£30.255,00;34303;£30.255,25;Project256;Construction;BS3 ;£117.400,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;;;0;£0,00;Project256;Construction;BS3 ;£117.400,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;0,33;£9.313,26;0,33;£9.313,26;Project256;Construction;BS3 ;£117.400,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;0,17;£4.797,74;0,17;£4.797,74;Project256;Construction;BS3 ;£117.400,00
NT1;Local people employed;no. people FTE;£28.758,00;;;100;£2.875.800,00;Project257;Construction;B46 ;£214.000.000,00
NT19;Local Supply Chain Spend (SMEs);£;£0,66;;;0;£0,00;Project257;Construction;B46 ;£214.000.000,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,66;;;0;£0,00;Project257;Construction;B46 ;£214.000.000,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;0;£0,00;0;£0,00;Project258;Construction;BS1 ;£63.470,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;0;£0,00;0;£0,00;Project258;Construction;BS1 ;£63.470,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;0;£0,00;0;£0,00;Project258;Construction;BS1 ;£63.470,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;0;£0,00;0;£0,00;Project258;Construction;BS1 ;£63.470,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;26000;£22.932,00;22932;£20.226,02;Project259;Construction;BS1 ;£82.301,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;6400;£5.645,00;5645;£4.978,89;Project259;Construction;BS1 ;£82.301,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;;;1,25;£35.277,50;Project259;Construction;BS1 ;£82.301,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;;;0;£0,00;Project259;Construction;BS1 ;£82.301,00
NT1;No. of local people (FTE) hired or retained on the contract;no. people FTE;£32.120,00;20;£604.380,00;12,72;£408.566,40;Project260;Construction;BN2 ;£66.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,82;3000000;£1.802.845,71;10394038;£8.543.899,24;Project260;Construction;BN2 ;£66.500.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,82;2000000;£1.201.897,14;5096914,5;£4.189.663,72;Project260;Construction;BN2 ;£66.500.000,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;67600;£59.623,00;0;£0,00;Project263;Construction;BS3 ;£214.697,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;24600;£21.697,00;0;£0,00;Project263;Construction;BS3 ;£214.697,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;;;0;£0,00;Project263;Construction;BS3 ;£214.697,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;2;£56.444,00;0;£0,00;Project263;Construction;BS3 ;£214.697,00
NT1;Local people employed;no. people FTE;£26.746,00;7;£187.222,00;0;£0,00;Project264;Construction;PR1 ;£11.543.157,00
NT19;Local Supply Chain Spend (SMEs);£;£0,84;;;0;£0,00;Project264;Construction;PR1 ;£11.543.157,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,84;0;£0,00;0;£0,00;Project264;Construction;PR1 ;£11.543.157,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;;;0;£0,00;Project265;Construction;BS1 ;£23.550,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;;;0;£0,00;Project265;Construction;BS1 ;£23.550,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;;;0;£0,00;Project265;Construction;BS1 ;£23.550,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;;;0;£0,00;Project265;Construction;BS1 ;£23.550,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;15,2;£406.539,20;Project266;Construction;M3 ;£7.600.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;1520000;£1.267.609,55;Project266;Construction;M3 ;£7.600.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project266;Construction;M3 ;£7.600.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;0;£0,00;Project267;Construction;M3 ;£5.073.265,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;0;£0,00;Project267;Construction;M3 ;£5.073.265,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project267;Construction;M3 ;£5.073.265,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;9,8;£262.110,80;Project268;Construction;M3 ;£9.800.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;1960000;£1.634.549,16;Project268;Construction;M3 ;£9.800.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project268;Construction;M3 ;£9.800.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;25,4;£679.348,40;Project269;Construction;M3 ;£12.700.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;2540000;£2.118.242,28;Project269;Construction;M3 ;£12.700.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project269;Construction;M3 ;£12.700.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;37;£989.602,00;Project270;Construction;M3 ;£18.402.569,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;3680514;£3.069.378,09;Project270;Construction;M3 ;£18.402.569,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project270;Construction;M3 ;£18.402.569,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;63,66;£1.702.650,36;Project271;Construction;M3 ;£37.000.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;6780000;£5.654.205,77;Project271;Construction;M3 ;£37.000.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project271;Construction;M3 ;£37.000.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;14,4;£385.142,40;Project272;Construction;M3 ;£7.200.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;1440000;£1.200.893,26;Project272;Construction;M3 ;£7.200.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project272;Construction;M3 ;£7.200.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;15,2;£406.539,20;Project273;Construction;M3 ;£4.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;1520000;£1.267.609,55;Project273;Construction;M3 ;£4.500.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project273;Construction;M3 ;£4.500.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;27;£722.142,00;Project274;Construction;M3 ;£13.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;2700000;£2.251.674,86;Project274;Construction;M3 ;£13.500.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project274;Construction;M3 ;£13.500.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;11,2;£299.555,20;Project275;Construction;m3 ;£5.600.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,83;;;1120000;£934.028,09;Project275;Construction;m3 ;£5.600.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,83;;;0;£0,00;Project275;Construction;m3 ;£5.600.000,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;5320;£4.692,00;0;£0,00;Project276;Construction;BS1 ;£22.270,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;5320;£4.692,00;5320;£4.692,24;Project276;Construction;BS1 ;£22.270,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;0,5;£14.111,00;0,09;£2.539,98;Project276;Construction;BS1 ;£22.270,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;0,33;£9.313,26;0,33;£9.313,26;Project276;Construction;BS1 ;£22.270,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;1,5;£40.119,00;0;£0,00;Project277;Construction;SK3 ;£204.190,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract;£;£0,66;40000;£26.200,00;0;£0,00;Project277;Construction;SK3 ;£204.190,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;1000;£655,00;0;£0,00;Project277;Construction;SK3 ;£204.190,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;1;£26.746,00;0,26;£6.953,96;Project279;Construction;SK3 ;£221.006,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract;£;£0,66;20000;£13.100,00;20000;£13.100,00;Project279;Construction;SK3 ;£221.006,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;125000;£81.875,00;85000;£55.675,00;Project279;Construction;SK3 ;£221.006,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;1;£26.746,00;0;£0,00;Project280;Construction;SK3 ;£47.649,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract;£;£0,66;15525;£10.169,00;0;£0,00;Project280;Construction;SK3 ;£47.649,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project280;Construction;SK3 ;£47.649,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;0;£0,00;0;£0,00;Project289;Construction;BS2 ;£20.985,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;0;£0,00;0;£0,00;Project289;Construction;BS2 ;£20.985,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;0;£0,00;0;£0,00;Project289;Construction;BS2 ;£20.985,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;0;£0,00;0;£0,00;Project289;Construction;BS2 ;£20.985,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;85600;£75.499,20;0;£0,00;Project291;Construction;BS1 ;£143.671,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;14900;£13.141,80;0;£0,00;Project291;Construction;BS1 ;£143.671,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;0,66;£18.626,52;0;£0,00;Project291;Construction;BS1 ;£143.671,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;0,33;£9.313,26;0;£0,00;Project291;Construction;BS1 ;£143.671,00
NT1;Local people employed;no. people FTE;£26.258,00;4;£105.032,00;26;£682.708,00;Project293;Construction;LS17 ;£14.500.000,00
NT19;Local Supply Chain Spend (SMEs);£;£0,81;0;£0,00;526000;£427.580,24;Project293;Construction;LS17 ;£14.500.000,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,81;0;£0,00;1268;£1.030,74;Project293;Construction;LS17 ;£14.500.000,00
NT1;Local people employed;no. people FTE;£26.819,00;4;£107.276,00;5;£134.095,00;Project294;Construction;B91 ;£5.157.123,00
NT19;Local Supply Chain Spend (SMEs);£;£0,96;2429687;£2.332.828,51;2319785,88;£2.227.308,56;Project294;Construction;B91 ;£5.157.123,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,96;919880;£883.209,36;541187,27;£519.613,06;Project294;Construction;B91 ;£5.157.123,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£37.209,00;5;£186.045,00;5;£186.045,00;Project300;Construction;E2 ;£1.000.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£2,57;;;0;£0,00;Project300;Construction;E2 ;£1.000.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£2,57;;;0;£0,00;Project300;Construction;E2 ;£1.000.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;0;£0,00;Project302;Construction;L2 ;£1.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,66;;;20000;£13.092,32;Project302;Construction;L2 ;£1.500.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project302;Construction;L2 ;£1.500.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;0;£0,00;Project303;Construction;L2 ;£1.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,66;;;0;£0,00;Project303;Construction;L2 ;£1.500.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project303;Construction;L2 ;£1.500.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;0;£0,00;Project304;Construction;L2 ;£1.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,66;;;20000;£13.092,32;Project304;Construction;L2 ;£1.500.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project304;Construction;L2 ;£1.500.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;0;£0,00;Project305;Construction;L2 ;£1.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,66;;;20000;£13.092,32;Project305;Construction;L2 ;£1.500.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project305;Construction;L2 ;£1.500.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;0;£0,00;Project306;Construction;L2 ;£15.000.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,66;;;20000;£13.092,32;Project306;Construction;L2 ;£15.000.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project306;Construction;L2 ;£15.000.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;5;£133.730,00;0;£0,00;Project307;Construction;L2 ;£1.200.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,66;;;0;£0,00;Project307;Construction;L2 ;£1.200.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,66;;;0;£0,00;Project307;Construction;L2 ;£1.200.000,00
NT18;Total spend in local supply chain;£ spent;£0,55;;;0;£0,00;Project312;Construction;CR9 ;£10.000.000,00
NT19;Total amount spent in contract with MSMEs;£;£0,55;;;0;£0,00;Project312;Construction;CR9 ;£10.000.000,00
NT18;Total amount (£) spent in LOCAL (BS1-16) supply chain through the contract;£;£0,88;49095;£43.301,79;0;£0,00;Project325;Construction;BS16 ;£75.386,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs (BS1-BS16);£;£0,88;0;£0,00;0;£0,00;Project325;Construction;BS16 ;£75.386,00
NT1;No. local (BS1-BS16) people (FTE) employed on contract;no. people FTE;£28.222,00;0;£0,00;0;£0,00;Project325;Construction;BS16 ;£75.386,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£28.222,00;0;£0,00;0;£0,00;Project325;Construction;BS16 ;£75.386,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,55;;;0;£0,00;Project328;Construction;CO4 ;£158.633,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,55;;;2400;£1.325,14;Project328;Construction;CO4 ;£158.633,00
NT18;Total spend in local supply chain;£ spent;£0,87;0;£0,00;1910500;£1.659.849,24;Project331;Construction;SG1 ;£4.465.000,00
NT19;Total amount spent in contract with MSMEs;£;£0,87;0;£0,00;0;£0,00;Project331;Construction;SG1 ;£4.465.000,00
NT1;Local people employed;no. people FTE;£26.746,00;;;161;£4.306.106,00;Project332;Construction;M13 ;£380.000.000,00
NT19;Local Supply Chain Spend (SMEs);£;£0,94;;;11690434;£10.987.131,00;Project332;Construction;M13 ;£380.000.000,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,94;;;1487631;£1.398.134,29;Project332;Construction;M13 ;£380.000.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£30.219,00;10;£0,00;15;£453.285,00;Project334;Construction;PO1 ;£1.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,76;;;0;£0,00;Project334;Construction;PO1 ;£1.500.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,76;;;0;£0,00;Project334;Construction;PO1 ;£1.500.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£37.209,00;125;£4.651.125,00;1;£37.209,00;Project336;Construction;SW6 ;£96.000.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£1,88;4750000;£8.950.888,40;3380;£6.369,26;Project336;Construction;SW6 ;£96.000.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£1,88;;;0;£0,00;Project336;Construction;SW6 ;£96.000.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,46;;;0;£0,00;Project337;Construction;DY5 ;£7.495.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,46;;;0;£0,00;Project337;Construction;DY5 ;£7.495.000,00
NT1;Local people employed;no. people FTE;£30.219,00;;;27;£815.913,00;Project343;Construction;GU1 ;£7.633.716,00
NT19;Local Supply Chain Spend (SMEs);£;£1,02;;;3530700;£3.606.532,73;Project343;Construction;GU1 ;£7.633.716,00
NT18;Local Supply Chain Spend (Large organisations);£;£1,02;;;0;£0,00;Project343;Construction;GU1 ;£7.633.716,00
NT1;Local people employed;no. people FTE;£28.460,00;5;£142.300,00;2,59;£73.711,40;Project346;Construction;PE34 ;£23.057.304,00
NT19;Local Supply Chain Spend (SMEs);£;£0,54;7050692;£3.816.616,49;449065;£243.083,78;Project346;Construction;PE34 ;£23.057.304,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,54;;;975170;£527.870,16;Project346;Construction;PE34 ;£23.057.304,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,82;;;0;£0,00;Project348;Construction;CB6 ;£11.665.569,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,82;;;0;£0,00;Project348;Construction;CB6 ;£11.665.569,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.819,00;;;37;£992.303,00;Project350;Construction;CV34 ;£7.500.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,87;;;681331,34;£592.814,64;Project350;Construction;CV34 ;£7.500.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,87;;;4284618,45;£3.727.972,55;Project350;Construction;CV34 ;£7.500.000,00
NT1;Local people employed;no. people FTE;£25.905,00;6;£155.430,00;6;£155.430,00;Project351;Construction;NE10 ;£625.467,00
NT19;Local Supply Chain Spend (SMEs);£;£0,63;126313;£79.986,40;126313;£79.986,40;Project351;Construction;NE10 ;£625.467,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,63;17595;£11.141,85;17595;£11.141,85;Project351;Construction;NE10 ;£625.467,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.746,00;;;6;£160.476,00;Project353;Construction;SK1 ;£1.200.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,54;;;88304,54;£47.531,63;Project353;Construction;SK1 ;£1.200.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,54;;;168128,33;£90.498,33;Project353;Construction;SK1 ;£1.200.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.819,00;;;26;£697.294,00;Project354;Construction;B91 ;£4.200.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,96;;;366427;£351.819,54;Project354;Construction;B91 ;£4.200.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,96;;;939430;£901.980,00;Project354;Construction;B91 ;£4.200.000,00
NT1;Local people employed;no. people FTE;£26.819,00;;;29;£777.751,00;Project358;Construction;WS13 ;£19.800.000,00
NT19;Local Supply Chain Spend (SMEs);£;£0,55;;;0;£0,00;Project358;Construction;WS13 ;£19.800.000,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,55;;;0;£0,00;Project358;Construction;WS13 ;£19.800.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.819,00;;;6;£160.914,00;Project372;Construction;TF4 ;£1.100.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,64;;;332230,27;£211.656,31;Project372;Construction;TF4 ;£1.100.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,64;;;117089,25;£74.594,89;Project372;Construction;TF4 ;£1.100.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.819,00;;;0;£0,00;Project376;Construction;CV9 ;£650.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,87;;;273136,67;£237.651,50;Project376;Construction;CV9 ;£650.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,87;;;103111,05;£89.715,14;Project376;Construction;CV9 ;£650.000,00
NT1;No. of local people (FTE) employed on contract for one year;no. people FTE;£25.822,00;45;£1.161.990,00;2;£51.644,00;Project386;Construction;nn8 ;£10.400.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract.;£;£0,58;1000000;£579.969,88;0;£0,00;Project386;Construction;nn8 ;£10.400.000,00
NT19;Total amount (£) spent through contract with LOCAL SMEs;£;£0,58;200000;£115.993,98;0;£0,00;Project386;Construction;nn8 ;£10.400.000,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£26.819,00;;;16;£429.104,00;Project390;Construction;B69 ;£4.000.000,00
